Year,ID1,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at
2009,08NF001, 08NF001,50.887032,-116.046097,2000,-4.9,5.9,18.3,7.3,-12.7,-4.2,4.6,-2.4,-8.8,0.9,11.4,2.5,272,264,406,278,819,219,1,178,0,84,598,175,2409,1579,601,1421,0,0,6,3,1,20,82,29,256,144,10,150,0,126,306,66,0,0,0,13,67,64,58,66
2010,08NF001, 08NF001,50.887032,-116.046097,2000,-3,7.7,17.5,6.1,-12.3,-3.1,4,-3.4,-7.7,2.3,10.8,1.4,117,190,293,358,749,100,1,226,0,59,536,119,2314,1447,666,1511,1,1,4,2,2,20,81,29,105,86,11,141,0,122,297,79,0,0,58,0,61,62,58,66
2011,08NF001, 08NF001,50.887032,-116.046097,2000,-4.8,5.1,17.6,7.4,-13.4,-4.2,4.6,-3.2,-9.1,0.4,11.1,2.1,342,334,340,325,826,214,1,214,0,57,572,173,2426,1616,632,1445,1,1,5,4,1,19,84,29,320,184,11,154,0,73,294,90,0,0,42,0,63,65,59,63
2012,08NF001, 08NF001,50.887032,-116.046097,2000,-3.4,7,19,7.8,-10.9,-2.5,5.3,-2.2,-7.1,2.3,12.1,2.8,259,302,635,355,681,135,1,160,0,89,665,167,2255,1450,545,1391,0,0,11,4,2,26,84,30,230,169,27,152,0,128,313,87,0,8,33,4,68,66,58,65
2013,08NF001, 08NF001,50.887032,-116.046097,2000,-3,7.2,19.2,6.6,-10.4,-3.1,5.6,-2.8,-6.7,2,12.4,1.9,227,349,545,360,653,151,0,216,0,100,685,160,2223,1469,519,1466,0,0,11,4,2,25,86,31,197,142,12,123,0,125,316,81,0,0,56,0,68,64,58,66
2014,08NF001, 08NF001,50.887032,-116.046097,2000,-4.8,6,19.6,7.2,-13.1,-3.5,5.8,-2.1,-8.9,1.3,12.7,2.5,245,380,308,466,819,195,0,190,0,83,716,157,2409,1542,496,1406,0,0,15,3,2,24,86,37,218,175,6,186,0,121,322,81,0,0,71,0,64,66,58,68
2015,08NF001, 08NF001,50.887032,-116.046097,2000,-1.3,9.2,20.2,6.9,-9.1,-1.8,5.6,-2.7,-5.2,3.7,12.9,2.1,192,187,341,498,541,80,0,192,0,126,727,128,2088,1318,470,1445,1,1,11,2,4,30,87,32,145,60,5,218,0,169,332,79,0,25,41,0,67,62,56,66
2016,08NF001, 08NF001,50.887032,-116.046097,2000,-1.7,9.4,18.3,7.2,-9.2,-1,5.4,-1.3,-5.4,4.2,11.8,3,242,295,412,404,561,78,0,106,0,148,633,123,2110,1276,569,1372,0,0,7,2,4,37,86,35,193,65,8,115,0,139,301,74,0,10,17,0,69,64,60,70
2017,08NF001, 08NF001,50.887032,-116.046097,2000,-6.5,7,20.4,6.3,-14.4,-2.1,5.7,-2.3,-10.5,2.5,13.1,2,423,301,193,352,964,137,0,185,0,111,747,133,2561,1432,458,1459,0,0,15,2,1,30,87,30,411,158,3,170,0,126,335,78,0,4,171,0,66,68,55,69
2018,08NF001, 08NF001,50.887032,-116.046097,2000,-5.3,6.5,18.8,5.4,-12.5,-2.4,5.3,-2.9,-8.9,2.1,12,1.2,313,332,282,363,816,209,0,171,0,147,654,73,2406,1468,548,1527,1,1,8,2,2,34,86,25,289,173,6,139,0,131,310,67,0,0,103,0,69,68,58,70
